@relation RNA
@attribute Feature1 real
@attribute Feature2 real
@attribute Feature3 real
@attribute Feature4 real
@attribute Feature5 real
@attribute Feature6 real
@attribute Feature7 real
@attribute Feature8 real
@attribute Feature9 real
@attribute Feature10 real
@attribute Feature11 real
@attribute Feature12 real
@attribute Feature13 real
@attribute Feature14 real
@attribute Feature15 real
@attribute Feature16 real
@attribute Feature17 real
@attribute Feature18 real
@attribute Feature19 real
@attribute class1 {0,1}
@attribute class2 {0,1}
@attribute class3 {0,1}
@attribute class4 {0,1}
@attribute class37 {0,1}
@attribute class5 {0,1}
@attribute class16 {0,1}
@attribute class7 {0,1}
@attribute class9 {0,1}
@attribute class12 {0,1}
@attribute class17 {0,1}
@attribute class23 {0,1}
@attribute class8 {0,1}
@attribute class24 {0,1}
@attribute class32 {0,1}
@attribute class34 {0,1}
@attribute class35 {0,1}
@attribute class38 {0,1}
@attribute class39 {0,1}
@data
0.03080741,0.0253663,0.03264666,0.02981115,0.03341301,0.02935134,0.00774017,0.02981115,0.03073077,0.02184107,0.0266691,0.02283733,0.02375696,0.02368032,0.03502235,0.0316504,0.21151376,0.18357319,0.16977756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.03038907,0.02533699,0.03260893,0.02962361,0.03306821,0.02931742,0.00780777,0.03000634,0.03084835,0.02181583,0.02686792,0.02288749,0.0237295,0.02365296,0.03513497,0.03153728,0.21158211,0.1839197,0.16986554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.03060784,0.02509843,0.03259735,0.02976612,0.03313299,0.02900093,0.007805,0.02984264,0.0304548,0.0218846,0.02685838,0.02287936,0.02395063,0.02372108,0.03481642,0.03198519,0.21166318,0.18366298,0.17027209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.01707135,0.01771963,0.027876,0.01728744,0.02820014,0.03241396,0.0188001,0.03198177,0.02204149,0.03457489,0.02874038,0.01793572,0.01264144,0.02668749,0.027876,0.0234461,0.23589532,0.19149468,0.18731607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.03058857,0.0303027,0.02544283,0.03001683,0.03916481,0.03602019,0.00686099,0.04088006,0.02315584,0.02258409,0.01743835,0.01972534,0.02344171,0.03401907,0.03287557,0.03973656,0.21370888,0.17014583,0.16389179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.12090292,0.02530526,0.03092865,0.00562339,0.03374035,0.01687018,0.00843509,0.02530526,0.01405848,0.02811696,0.03936374,0.01687018,0.01405848,0.01405848,0.01687018,0.01968187,0.20783672,0.16411421,0.1978596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.05816365,0.01938788,0.0325598,0.04025576,0.02604784,0.01835189,0.00310798,0.02723183,0.03093181,0.01361592,0.01997988,0.02723183,0.03522379,0.02338386,0.03611178,0.05771965,0.19486601,0.1726389,0.16318995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.03633041,0.0181652,0.02615789,0.02906432,0.03415058,0.02906432,0.0181652,0.02397807,0.02906432,0.0268845,0.02179824,0.01889181,0.01017251,0.03124415,0.03051754,0.02325146,0.23230238,0.17803784,0.18275923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.04962951,0.01630684,0.03615864,0.03934911,0.02694173,0.01595234,0.00673543,0.02339677,0.03261368,0.01453436,0.02375126,0.02906871,0.03225918,0.02623274,0.03332267,0.04466656,0.20028489,0.17660094,0.17219466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.05905842,0.02480144,0.02991673,0.04510761,0.02914169,0.01333077,0.00449526,0.02836664,0.02991673,0.01224571,0.01813605,0.02480144,0.04092237,0.02495644,0.03239687,0.04588265,0.19969577,0.17223444,0.16459297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0514314,0.01987122,0.0368202,0.04149579,0.02688459,0.01285785,0.00993561,0.01987122,0.04441802,0.01461119,0.02922238,0.01928677,0.02688459,0.02220901,0.03156018,0.03623576,0.19971939,0.18367104,0.17301376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.04624796,0.01574399,0.03542397,0.03837597,0.02722398,0.01738398,0.00688799,0.02459998,0.03148797,0.01508799,0.02394398,0.02984797,0.03083197,0.02787997,0.03443997,0.04460796,0.20128944,0.17633443,0.17236054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.04883115,0.01615184,0.0356843,0.03906492,0.02779619,0.01652747,0.00638561,0.02366433,0.03080119,0.01502497,0.02403995,0.02929869,0.03230368,0.02666932,0.03305493,0.0465774,0.20020028,0.17614891,0.17177488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.02896339,0.02210675,0.02388002,0.02494398,0.02730834,0.02600794,0.00945743,0.03333746,0.02494398,0.02033348,0.02470755,0.02908161,0.01867843,0.02766299,0.04102162,0.04575034,0.21678324,0.17624511,0.17878633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.03258332,0.01817147,0.02443749,0.03007691,0.02193108,0.0275705,0.02005127,0.02130448,0.02882371,0.02945031,0.0275705,0.01503846,0.02193108,0.01503846,0.02882371,0.02945031,0.24096453,0.18693067,0.17985174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.04420126,0.02197716,0.02839746,0.02913826,0.02666892,0.01975475,0.01185285,0.0222241,0.02864439,0.01605074,0.02518731,0.02839746,0.02444651,0.02247103,0.03284228,0.04321352,0.21306404,0.17956493,0.18190303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.04521981,0.02138111,0.0275251,0.02924542,0.02236415,0.02654206,0.01228799,0.0312115,0.0287539,0.02088959,0.01990655,0.02064383,0.02727934,0.02359295,0.03022846,0.04571133,0.21313715,0.18169264,0.17238712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.04153217,0.01893378,0.03359219,0.03420296,0.02076608,0.01587995,0.01038304,0.02626299,0.0409214,0.01832301,0.02687375,0.02015532,0.02504145,0.02015532,0.03481373,0.04886137,0.2085812,0.18893134,0.16578894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.05492587,0.02242807,0.0352441,0.02700522,0.02975152,0.02883608,0.01098517,0.02975152,0.03615953,0.02425893,0.0205972,0.01510462,0.01876634,0.02380121,0.0292938,0.03295552,0.20738018,0.17898654,0.17376857,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.05458674,0.02247689,0.03486212,0.02706401,0.02981628,0.02889886,0.01100909,0.02981628,0.03577954,0.02431174,0.02064204,0.0151375,0.01880719,0.02385303,0.02935757,0.03302727,0.20769941,0.17893217,0.17392226,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.04482721,0.02331015,0.02719517,0.02570093,0.0310802,0.02599978,0.01404586,0.02928711,0.02749402,0.02062052,0.023609,0.02002282,0.01793088,0.03018365,0.02689632,0.03556292,0.21900248,0.1797048,0.17752619,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0.04025079,0.01999386,0.02709694,0.02262463,0.02788617,0.01999386,0.01815232,0.02446617,0.02630771,0.02472924,0.02999079,0.0194677,0.01578462,0.02578155,0.02499232,0.03051694,0.23018489,0.19062744,0.18115207,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0.05203184,0.02433747,0.0251767,0.03189048,0.03021204,0.01678446,0.01762369,0.02077077,0.0218198,0.02119039,0.0107001,0.0218198,0.02937281,0.02307864,0.02202961,0.03566699,0.23094687,0.1830107,0.18153683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.02461127,0.01586779,0.02849726,0.01489629,0.0249351,0.04825104,0.01716312,0.03205941,0.02655426,0.03205941,0.0378884,0.01781079,0.00809581,0.02623043,0.03044025,0.02234444,0.22367281,0.2005471,0.16807502,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0.03146567,0.02090527,0.02887945,0.02543116,0.02564668,0.0200432,0.01185351,0.03125015,0.02866393,0.02413805,0.02672427,0.02521564,0.02090527,0.02370701,0.03728467,0.03189671,0.22213545,0.19324067,0.17061324,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02504211,0.02793954,0.04015015,0.01407325,0.03394137,0.04139191,0.01034798,0.03228569,0.03725272,0.02524907,0.03373441,0.02090291,0.01117582,0.02317947,0.03290657,0.01779852,0.21505225,0.17666076,0.18091551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.04368099,0.02488992,0.03280195,0.03280195,0.03510963,0.02093391,0.00642852,0.02999978,0.03263712,0.02060424,0.02554926,0.01994491,0.02258225,0.0262086,0.03395579,0.03461513,0.20375043,0.18289899,0.17060664,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02643179,0.02449775,0.02428286,0.01977012,0.02965517,0.03674663,0.01504248,0.02944028,0.02578711,0.02686157,0.02535732,0.02213393,0.01332334,0.02277861,0.03545727,0.03803598,0.23066923,0.18412473,0.16960381,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0
0.02099322,0.02079137,0.03471956,0.01170776,0.03088426,0.04784033,0.0153412,0.03048055,0.0292694,0.03431585,0.03532514,0.01816721,0.00706503,0.0215988,0.03169169,0.01130404,0.22687513,0.19348375,0.17814571,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.02129977,0.02048835,0.03509391,0.01156273,0.03083396,0.04787378,0.01541698,0.03022539,0.02961683,0.03448535,0.03549962,0.01805409,0.00669421,0.02150263,0.03164538,0.01135988,0.22660356,0.19370595,0.17803762,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.02111602,0.0205069,0.03492265,0.0115732,0.03086187,0.04791712,0.01543094,0.03025276,0.0294406,0.03451657,0.03553176,0.01807044,0.00670028,0.0215221,0.03167403,0.01137016,0.22666036,0.19373302,0.17819922,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.02157169,0.02113145,0.03477884,0.0114462,0.03059658,0.04842624,0.01606871,0.0286155,0.02949598,0.03323801,0.03521908,0.01849002,0.00726394,0.02091133,0.03037646,0.01188644,0.2281713,0.19426833,0.1780439,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.02137255,0.02115221,0.03459268,0.01145745,0.03062664,0.04847381,0.01608449,0.02864362,0.02930462,0.03327066,0.03525368,0.01850818,0.00727107,0.02093187,0.0304063,0.01189812,0.22823448,0.19429826,0.1782193,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.02170935,0.02082326,0.03500079,0.01129772,0.03057031,0.04851376,0.01617125,0.02835507,0.02968422,0.03345013,0.03544384,0.01838649,0.00686724,0.02082326,0.03034879,0.0119623,0.22794524,0.19454533,0.17810164,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.02150907,0.02084384,0.03481366,0.01130889,0.03060054,0.04856172,0.01618724,0.02838311,0.02949182,0.0334832,0.03547888,0.01840467,0.00687403,0.02084384,0.03037879,0.01197412,0.2280086,0.19457573,0.17827823,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.02345416,0.0215198,0.03723651,0.01208977,0.03143341,0.04980987,0.01426593,0.02998264,0.03143341,0.03191701,0.03602753,0.01789287,0.00797925,0.02224519,0.02974085,0.01233157,0.22144108,0.19293408,0.17626507,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.02323742,0.02154302,0.03703464,0.01210282,0.03146734,0.04986363,0.01428133,0.030015,0.03122528,0.03195145,0.03606641,0.01791218,0.00798786,0.02226919,0.02977294,0.01234488,0.22150322,0.19296552,0.17645586,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.02361869,0.02118377,0.03749771,0.01193109,0.03141042,0.04991578,0.01436601,0.02970598,0.03165391,0.03214089,0.03628025,0.01777489,0.00754824,0.02215774,0.02970598,0.01241807,0.22114536,0.19322919,0.17631602,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0234006,0.02120679,0.03729471,0.01194406,0.03144456,0.04997003,0.01438162,0.02973826,0.03144456,0.03217583,0.03631968,0.01779421,0.00755644,0.02218182,0.02973826,0.01243157,0.22120762,0.19326117,0.17650821,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.02117602,0.02077267,0.03489002,0.01169723,0.03085649,0.0477973,0.01532741,0.03045313,0.02944475,0.03428499,0.03529337,0.01815088,0.00705867,0.02157937,0.03166319,0.01129388,0.22681846,0.19345707,0.1779851,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.01625409,0.02061495,0.03548149,0.0124879,0.03151708,0.04717651,0.01506477,0.03052598,0.02953487,0.03429217,0.03528327,0.0182363,0.00753238,0.02220071,0.03151708,0.01308256,0.22706896,0.19396165,0.17816728,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.02112344,0.02525629,0.03030754,0.01285775,0.03444039,0.04683893,0.01607218,0.02801152,0.02341947,0.03306277,0.03627721,0.01607218,0.01102092,0.02020503,0.02571549,0.01469457,0.22368652,0.19876986,0.18216795,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.02847627,0.01590233,0.04142002,0.0136834,0.02699698,0.03291413,0.01257394,0.03180466,0.03550288,0.03217448,0.03957092,0.02107983,0.00887572,0.02292894,0.03476324,0.01405322,0.2195766,0.19097616,0.17672627,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
